Enter start page: Enter end page: 0
1
Contour #3487: Unicode expected: U+300A, Position: (1649, 3547) y//120: 29
Contour #3488: Unicode expected: U+300B, Position: (2104, 3548) y//120: 29
Contour #3489: Unicode expected: U+300C, Position: (2559, 3548) y//120: 29
Contour #3490: Unicode expected: U+300D, Position: (3012, 3548) y//120: 29
Contour #3491: Unicode expected: U+300E, Position: (3466, 3548) y//120: 29
Contour #3492: Unicode expected: U+300F, Position: (3919, 3548) y//120: 29
Contour #3493: Unicode expected: U+3042, Position: (4373, 3548) y//120: 29
Contour #3791: Unicode expected: U+3044, Position: (285, 4123) y//120: 34
Contour #3792: Unicode expected: U+3046, Position: (739, 4124) y//120: 34
Contour #3793: Unicode expected: U+3048, Position: (1195, 4125) y//120: 34
Contour #3794: Unicode expected: U+304A, Position: (1649, 4125) y//120: 34
Contour #3795: Unicode expected: U+304B, Position: (2102, 4126) y//120: 34
Contour #3796: Unicode expected: U+304C, Position: (2557, 4126) y//120: 34
Contour #3797: Unicode expected: U+304D, Position: (3011, 4125) y//120: 34
Contour #3798: Unicode expected: U+304E, Position: (3465, 4125) y//120: 34
Contour #3799: Unicode expected: U+304F, Position: (3919, 4125) y//120: 34
Contour #3800: Unicode expected: U+3050, Position: (4373, 4124) y//120: 34
Contour #4653: Unicode expected: U+3051, Position: (283, 4715) y//120: 39
Contour #4654: Unicode expected: U+3052, Position: (737, 4716) y//120: 39
Contour #4655: Unicode expected: U+3053, Position: (1191, 4716) y//120: 39
Contour #4656: Unicode expected: U+3054, Position: (1647, 4717) y//120: 39
Contour #4657: Unicode expected: U+3055, Position: (2099, 4717) y//120: 39
Contour #4658: Unicode expected: U+3056, Position: (2555, 4716) y//120: 39
Contour #4659: Unicode expected: U+3057, Position: (3009, 4716) y//120: 39
Contour #4660: Unicode expected: U+3058, Position: (3463, 4715) y//120: 39
Contour #4661: Unicode expected: U+3059, Position: (3916, 4715) y//120: 39
Contour #4662: Unicode expected: U+305A, Position: (4372, 4713) y//120: 39
Contour #4889: Unicode expected: U+305B, Position: (279, 5294) y//120: 44
Contour #4890: Unicode expected: U+305C, Position: (733, 5294) y//120: 44
Contour #4891: Unicode expected: U+305D, Position: (1187, 5295) y//120: 44
Contour #4892: Unicode expected: U+305E, Position: (1643, 5296) y//120: 44
Contour #4893: Unicode expected: U+305F, Position: (2097, 5297) y//120: 44
Contour #4894: Unicode expected: U+3060, Position: (2552, 5297) y//120: 44
Contour #4895: Unicode expected: U+3061, Position: (3006, 5296) y//120: 44
Contour #4896: Unicode expected: U+3062, Position: (3460, 5296) y//120: 44
Contour #4897: Unicode expected: U+3064, Position: (3914, 5295) y//120: 44
Contour #4898: Unicode expected: U+3065, Position: (4370, 5294) y//120: 44
Contour #5765: Unicode expected: U+3066, Position: (275, 5884) y//120: 49
Contour #5766: Unicode expected: U+3067, Position: (729, 5886) y//120: 49
Contour #5767: Unicode expected: U+3068, Position: (1184, 5887) y//120: 49
Contour #5768: Unicode expected: U+3069, Position: (1640, 5888) y//120: 49
Contour #5769: Unicode expected: U+306A, Position: (2094, 5889) y//120: 49
Contour #5770: Unicode expected: U+306B, Position: (2549, 5889) y//120: 49
Contour #5771: Unicode expected: U+306C, Position: (3003, 5889) y//120: 49
Contour #5772: Unicode expected: U+306D, Position: (3457, 5888) y//120: 49
Contour #5773: Unicode expected: U+306E, Position: (3911, 5888) y//120: 49
Contour #5774: Unicode expected: U+306F, Position: (4367, 5887) y//120: 49
4
Contour #348: Unicode expected: U+3070, Position: (305, 585) y//120: 4
Contour #349: Unicode expected: U+3071, Position: (759, 588) y//120: 4
Contour #350: Unicode expected: U+3072, Position: (1211, 590) y//120: 4
Contour #351: Unicode expected: U+3073, Position: (1665, 592) y//120: 4
Contour #352: Unicode expected: U+3074, Position: (2115, 594) y//120: 4
Contour #353: Unicode expected: U+3075, Position: (2569, 595) y//120: 4
Contour #354: Unicode expected: U+3076, Position: (3024, 597) y//120: 4
Contour #355: Unicode expected: U+3077, Position: (3477, 598) y//120: 4
Contour #356: Unicode expected: U+3078, Position: (3931, 599) y//120: 4
Contour #357: Unicode expected: U+3079, Position: (4385, 601) y//120: 5
Contour #1225: Unicode expected: U+307A, Position: (303, 1182) y//120: 9
Contour #1226: Unicode expected: U+307B, Position: (756, 1185) y//120: 9
Contour #1227: Unicode expected: U+307C, Position: (1209, 1187) y//120: 9
Contour #1228: Unicode expected: U+307D, Position: (1663, 1189) y//120: 9
Contour #1229: Unicode expected: U+307E, Position: (2113, 1189) y//120: 9
Contour #1230: Unicode expected: U+307F, Position: (2568, 1190) y//120: 9
Contour #1231: Unicode expected: U+3080, Position: (3021, 1191) y//120: 9
Contour #1232: Unicode expected: U+3081, Position: (3475, 1192) y//120: 9
Contour #1233: Unicode expected: U+3082, Position: (3929, 1193) y//120: 9
Contour #1234: Unicode expected: U+3083, Position: (4385, 1193) y//120: 9
Contour #1480: Unicode expected: U+3084, Position: (301, 1778) y//120: 14
Contour #1481: Unicode expected: U+3085, Position: (754, 1781) y//120: 14
Contour #1482: Unicode expected: U+3086, Position: (1207, 1783) y//120: 14
Contour #1483: Unicode expected: U+3087, Position: (1661, 1784) y//120: 14
Contour #1484: Unicode expected: U+3088, Position: (2113, 1785) y//120: 14
Contour #1485: Unicode expected: U+3089, Position: (2567, 1785) y//120: 14
Contour #1486: Unicode expected: U+308A, Position: (3020, 1786) y//120: 14
Contour #1487: Unicode expected: U+308B, Position: (3475, 1787) y//120: 14
Contour #1488: Unicode expected: U+308C, Position: (3929, 1787) y//120: 14
Contour #1489: Unicode expected: U+308D, Position: (4384, 1787) y//120: 14
Contour #2361: Unicode expected: U+308F, Position: (298, 2370) y//120: 19
Contour #2362: Unicode expected: U+3092, Position: (750, 2371) y//120: 19
Contour #2363: Unicode expected: U+3093, Position: (1205, 2372) y//120: 19
Contour #2364: Unicode expected: U+30A2, Position: (1660, 2373) y//120: 19
Contour #2365: Unicode expected: U+30A4, Position: (2111, 2373) y//120: 19
Contour #2366: Unicode expected: U+30A6, Position: (2566, 2373) y//120: 19
Contour #2367: Unicode expected: U+30A8, Position: (3019, 2373) y//120: 19
Contour #2368: Unicode expected: U+30AA, Position: (3473, 2372) y//120: 19
Contour #2369: Unicode expected: U+30AB, Position: (3928, 2372) y//120: 19
Contour #2370: Unicode expected: U+30AC, Position: (4384, 2371) y//120: 19
Contour #2621: Unicode expected: U+30AD, Position: (296, 2957) y//120: 24
Contour #2622: Unicode expected: U+30AE, Position: (751, 2958) y//120: 24
Contour #2623: Unicode expected: U+30AF, Position: (1205, 2959) y//120: 24
Contour #2624: Unicode expected: U+30B0, Position: (1658, 2959) y//120: 24
Contour #2625: Unicode expected: U+30B1, Position: (2110, 2958) y//120: 24
Contour #2626: Unicode expected: U+30B2, Position: (2565, 2958) y//120: 24
Contour #2627: Unicode expected: U+30B3, Position: (3019, 2957) y//120: 24
Contour #2628: Unicode expected: U+30B4, Position: (3473, 2956) y//120: 24
Contour #2629: Unicode expected: U+30B5, Position: (3927, 2956) y//120: 24
Contour #2630: Unicode expected: U+30B6, Position: (4383, 2954) y//120: 24
Contour #3521: Unicode expected: U+30B7, Position: (293, 3546) y//120: 29
Contour #3522: Unicode expected: U+30B8, Position: (749, 3547) y//120: 29
Contour #3523: Unicode expected: U+30B9, Position: (1203, 3547) y//120: 29
Contour #3524: Unicode expected: U+30BA, Position: (1657, 3547) y//120: 29
